baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.5,0.52,0.52,0.55,0.5
0.5,0.52,0.52,0.55,0.5
0.51,0.54,0.54,0.56,0.51
0.51,0.54,0.54,0.56,0.51
0.52,0.55,0.55,0.58,0.52
0.53,0.57,0.57,0.59,0.53
0.53,0.57,0.57,0.59,0.53
0.54,0.59,0.59,0.6,0.54
0.54,0.59,0.59,0.59,0.54
0.54,0.59,0.59,0.59,0.54
0.54,0.59,0.59,0.59,0.54
0.54,0.59,0.59,0.59,0.54
0.54,0.59,0.59,0.59,0.54
0.53,0.57,0.57,0.57,0.53
0.53,0.57,0.56,0.56,0.53
0.53,0.57,0.56,0.57,0.53
0.53,0.57,0.56,0.57,0.53
0.52,0.55,0.55,0.55,0.52
0.52,0.55,0.55,0.55,0.52
0.52,0.55,0.55,0.55,0.52
0.51,0.54,0.53,0.54,0.52
0.51,0.54,0.53,0.54,0.52
0.52,0.55,0.55,0.55,0.53
0.53,0.57,0.56,0.57,0.54
0.53,0.57,0.56,0.57,0.54
0.52,0.55,0.55,0.55,0.53
0.53,0.57,0.56,0.57,0.54
0.52,0.55,0.55,0.55,0.54
0.52,0.55,0.55,0.55,0.54
0.53,0.57,0.56,0.56,0.55
0.53,0.57,0.56,0.56,0.56
0.53,0.57,0.56,0.56,0.56
0.54,0.59,0.58,0.58,0.57
0.54,0.59,0.58,0.58,0.57
0.54,0.59,0.58,0.58,0.57
0.55,0.61,0.6,0.59,0.58
0.55,0.61,0.6,0.59,0.59
0.55,0.61,0.6,0.59,0.59
0.56,0.63,0.62,0.6,0.6
0.57,0.64,0.64,0.62,0.61
0.57,0.64,0.64,0.61,0.61
0.57,0.64,0.64,0.61,0.61
0.57,0.64,0.64,0.61,0.61
0.57,0.64,0.64,0.61,0.61
0.57,0.64,0.64,0.61,0.61
0.58,0.66,0.66,0.63,0.62
0.59,0.68,0.67,0.64,0.63
0.59,0.68,0.67,0.64,0.63
0.59,0.68,0.67,0.64,0.63
0.59,0.68,0.67,0.64,0.63
0.59,0.68,0.67,0.64,0.63
0.59,0.68,0.67,0.64,0.63
0.6,0.7,0.69,0.65,0.64
0.61,0.72,0.71,0.67,0.65
0.61,0.72,0.71,0.67,0.66
0.62,0.73,0.73,0.68,0.67
0.62,0.73,0.73,0.68,0.67
0.62,0.73,0.73,0.68,0.67
0.62,0.73,0.73,0.69,0.68
0.63,0.75,0.75,0.7,0.69
0.64,0.77,0.77,0.71,0.7
0.64,0.77,0.77,0.72,0.71
0.64,0.77,0.77,0.73,0.72
0.64,0.77,0.77,0.73,0.72
0.64,0.77,0.77,0.73,0.72
0.64,0.77,0.77,0.73,0.72
0.64,0.77,0.77,0.73,0.72
0.63,0.75,0.75,0.72,0.71
0.63,0.75,0.75,0.72,0.71
0.64,0.77,0.77,0.74,0.72
0.65,0.79,0.77,0.75,0.72
0.64,0.77,0.76,0.74,0.72
0.64,0.77,0.76,0.73,0.72
0.64,0.77,0.76,0.73,0.72
0.64,0.77,0.76,0.73,0.72
0.65,0.79,0.77,0.75,0.73
0.64,0.77,0.75,0.73,0.73
0.64,0.77,0.76,0.74,0.74
0.64,0.77,0.77,0.74,0.74
0.64,0.77,0.77,0.75,0.75
0.64,0.77,0.77,0.75,0.75
0.65,0.79,0.79,0.77,0.76
